_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
402,2706307,Palmeira dos Índios,2022,População residente censitária,Total,Total,71574
403,2706406,Pão de Açúcar,1970,População residente censitária,Total,Total,16721
404,2706406,Pão de Açúcar,1980,População residente censitária,Total,Total,18936
405,2706406,Pão de Açúcar,1991,População residente censitária,Total,Total,21506
406,2706406,Pão de Açúcar,2000,População residente censitária,Total,Total,24351
407,2706406,Pão de Açúcar,2010,População residente censitária,Total,Total,23811
408,2706406,Pão de Açúcar,2022,População residente censitária,Total,Total,23823
409,2706422,Pariconha,1970,População residente censitária,Total,Total,...
410,2706422,Pariconha,1980,População residente censitária,Total,Total,...
411,2706422,Pariconha,1991,População residente censitária,Total,Total,...
412,2706422,Pariconha,2000,População residente censitária,Total,Total,10086
413,2706422,Pariconha,2010,População residente censitária,Total,Total,10264
414,2706422,Pariconha,2022,População residente censitária,Total,Total,10573
415,2706448,Paripueira,1970,População residente censitária,Total,Total,...
416,2706448,Paripueira,1980,População residente censitária,Total,Total,...
417,2706448,Paripueira,1991,População residente censitária,Total,Total,...
418,2706448,Paripueira,2000,População residente censitária,Total,Total,8049
419,2706448,Paripueira,2010,População residente censitária,Total,Total,11347
420,2706448,Paripueira,2022,População residente censitária,Total,Total,13835
421,2706505,Passo de Camaragibe,1970,População residente censitária,Total,Total,7598
422,2706505,Passo de Camaragibe,1980,População residente censitária,Total,Total,11326
